Format: [Error ID] DescriptionMessage (HRESULT ID, file)

[ERRD2D1001] D2D1 Factory failed to initialize!                            (errchck001, Graphics.cpp)
[ERRD2D1002] D2D1 Factory failed to create ID2D1HwndRenderTarget!          (errchck002, Graphics.cpp)
[ERRD2D1003] Failed to create Solid Color Brush!                           (errchck003, Graphics.cpp)
[ERRD2D1004] Failed to create Solid Color Brush!                           (errchck004, Graphics.cpp)
[ERRD2D1005] Failed to create Solid Color Brush!                           (errchck014, Graphics.cpp)
[ERRD2D1006] Failed to create Stroke Style Dotted!                         (errchck015, Graphics.cpp)
[ERRD2D1007] Failed to create Stroke Style Dashed!                         (errchck016, Graphics.cpp)
[ERRD2D1008] Failed to create Stroke Style Dash-Dotted!                    (errchck017, Graphics.cpp)
[ERRD2D1009] Failed to create Stroke Style Dash-Dot-Dotted!                (errchck018, Graphics.cpp)

[ERRSPRS001] WIC Factory failed to initialize CoCreateInstance!            (errchck005, SpriteSheet.cpp)
[ERRSPRS002] WIC Factory failed to Create Decoder from File!               (errchck006, SpriteSheet.cpp)
[ERRSPRS003] WIC Factory failed to read frame from the image!              (errchck007, SpriteSheet.cpp)
[ERRSPRS004] WIC Factory failed to create Format Converter!                (errchck008, SpriteSheet.cpp)
[ERRSPRS005] WIC Factory failed to set up Format Converter!                (errchck009, SpriteSheet.cpp)

[ERRDWRT001] DirectWrite Factory failed to initialize!                     (errchck010, Graphics.cpp)
[ERRDWRT002] DirectWrite Factory failed to create text format!             (errchck011, Graphics.cpp)
[ERRDWRT003] Text Format failed to set alignment!                          (errchck012, Graphics.cpp)
[ERRDWRT004] Text Format failed to set paragraph alignment!                (errchck013, Graphics.cpp)
[ERRDWRT005] DirectWrite Factory failed to create text format!             (errchck019, Graphics.cpp)
[ERRDWRT006] Text Format failed to set alignment!                          (errchck020, Graphics.cpp)
[ERRDWRT007] Text Format failed to set paragraph alignment!                (errchck021, Graphics.cpp)
